Passagier ID,Geschlecht,Vorname,Nachname,Alter,Ticketklasse,Ticketnummer,Sektor,Reisetyp,Hafen Start,Hafen Ende
0,männlich,Wendell,Grant,60,Mitarbeiter:in,K23255,M,,Barcelona (ESP),Marseille (FRA)
1,divers,Eric,Harris,16,Mitarbeiter:in,K96898,M,,Genua (ITA),Marseille (FRA)
2,weiblich,Ada,Coulter,38,Mitarbeiter:in,K60249,M,,Palermo (ITA),Palma de Mallorca (ESP)
3,weiblich,Dorothy,Reeder,52,Außenkabine,K55458,A,Party,Genua (ITA),Palma de Mallorca (ESP)
4,männlich,Joshua,Pagan,78,Mitarbeiter:in,K00878,M,,Palma de Mallorca (ESP),Marseille (FRA)
5,männlich,Benjamin,Waldron,67,Mitarbeiter:in,K69581,M,,Barcelona (ESP),Marseille (FRA)
6,männlich,Fidel,Jones,17,Außenkabine,K31506,D,Wandern,Genua (ITA),Genua (ITA)
7,weiblich,Lillian,Gonzalez,51,Innenkabine,K66374,A,Party,Barcelona (ESP),Marseille (FRA)
8,weiblich,Helen,Vincent,85,Innenkabine,K14989,B,Party,Palermo (ITA),Barcelona (ESP)
9,weiblich,Kristi,Werkhoven,51,Innenkabine,K01974,C,Wandern,Rom (ITA),Barcelona (ESP)
10,männlich,Ronald,Sanchez,22,Mitarbeiter:in,K85708,M,,Palma de Mallorca (ESP),Genua (ITA)
11,divers,Gail,Sanders,35,Innenkabine,K82077,D,Kultur,Palermo (ITA),Marseille (FRA)
12,weiblich,Christal,Haynes,27,Innenkabine,K85898,C,Individual,Rom (ITA),Palma de Mallorca (ESP)
13,männlich,Wayne,Venegas,51,Innenkabine,K34559,B,Party,Rom (ITA),Genua (ITA)
14,männlich,Alfred,Wendell,60,Innenkabine,K13868,A,Kulinarik,Palma de Mallorca (ESP),Genua (ITA)
15,männlich,David,Quinn,93,Mitarbeiter:in,K56838,M,,Palma de Mallorca (ESP),Genua (ITA)
16,männlich,Willie,Voss,25,Innenkabine,K27222,C,Wandern,Palermo (ITA),Genua (ITA)
17,weiblich,Rebecca,Smith,12,Innenkabine,K89253,E,Kulinarik,Genua (ITA),Genua (ITA)
